blue,green,red,ndwi,brightness,label,source_file
0.16843301,0.17895493,0.07983193,0.383028,0.14240663,1,GSL_1991_05.tif
0.17017674,0.1882546,0.08596458,0.37302142,0.14813198,1,GSL_1991_05.tif
0.16831677,0.18491039,0.08916903,0.34931847,0.1474654,1,GSL_1991_05.tif
0.17110673,0.19068259,0.08673807,0.37468058,0.14950913,1,GSL_1991_05.tif
0.1736642,0.20662488,0.0914895,0.38621077,0.15725952,1,GSL_1991_05.tif
0.1737417,0.20314322,0.08541209,0.4080005,0.154099,1,GSL_1991_05.tif
0.16180685,0.18820879,0.08320212,0.38689038,0.14440592,1,GSL_1991_05.tif
0.14661704,0.16869323,0.075135745,0.3836997,0.13014866,1,GSL_1991_05.tif
0.15483195,0.17299949,0.08950053,0.31809002,0.13911065,1,GSL_1991_05.tif
0.16451931,0.20149402,0.08397561,0.41166544,0.14999633,1,GSL_1991_05.tif
0.16994424,0.19902022,0.091379,0.37066504,0.15344782,1,GSL_1991_05.tif
0.27234185,0.21460588,0.1272156,0.25565985,0.20472111,1,GSL_2002_06.tif
0.2670998,0.21191332,0.1201359,0.2763962,0.19971633,1,GSL_2002_06.tif
0.25052187,0.21191332,0.1201359,0.2763962,0.19419037,1,GSL_2002_06.tif
0.2349268,0.20275863,0.112057805,0.28810608,0.18324775,1,GSL_2002_06.tif
0.26723087,0.21945249,0.15063299,0.18595517,0.21243878,1,GSL_2002_06.tif
0.2634959,0.2189909,0.119046725,0.29565904,0.20051117,1,GSL_2002_06.tif
0.26179224,0.2189909,0.119046725,0.29565904,0.1999433,1,GSL_2002_06.tif
0.23728572,0.20275863,0.113691576,0.28145584,0.18457864,1,GSL_2002_06.tif
0.23459917,0.18652636,0.11314699,0.24486369,0.17809086,1,GSL_2002_06.tif
0.24423142,0.2179908,0.13347839,0.24045399,0.19856687,1,GSL_2002_06.tif
0.2763389,0.2139135,0.11577918,0.29765305,0.20201051,1,GSL_2002_06.tif
0.26310274,0.2139135,0.11577918,0.29765305,0.19759846,1,GSL_2002_06.tif
0.24619718,0.19868132,0.10987944,0.2877929,0.18491931,1,GSL_2002_06.tif
0.2493424,0.19060366,0.10733802,0.27946863,0.18242802,1,GSL_2002_06.tif
0.24750769,0.21691379,0.11478076,0.30791196,0.19306742,1,GSL_2002_06.tif
0.28420195,0.22452988,0.11632377,0.3174553,0.20835185,1,GSL_2002_06.tif
0.26749295,0.23368457,0.1201359,0.32092077,0.20710449,1,GSL_2002_06.tif
0.25406024,0.20122002,0.10733802,0.30425942,0.18753941,1,GSL_2002_06.tif
0.25615704,0.20229705,0.10987944,0.29604185,0.1894445,1,GSL_2002_06.tif
0.24973555,0.2215296,0.11959131,0.29883245,0.19695215,1,GSL_2002_06.tif
0.28367776,0.22606848,0.11686836,0.3184254,0.20887153,1,GSL_2002_06.tif
0.2714245,0.24245462,0.13792588,0.27479973,0.21726835,1,GSL_2002_06.tif
0.25451893,0.2174523,0.11314699,0.31550276,0.1950394,1,GSL_2002_06.tif
0.26146463,0.2113748,0.113691576,0.30050147,0.19551034,1,GSL_2002_06.tif
0.25078395,0.22452988,0.121769674,0.29673702,0.19902784,1,GSL_2002_06.tif
0.2616999,0.19201192,0.24551848,-0.122291915,0.23307677,0,GSL_2013_07.tif
0.3053731,0.21705973,0.28390074,-0.13342544,0.26877785,0,GSL_2013_07.tif
0.21446534,0.12487496,0.21006434,-0.25434196,0.18313487,0,GSL_2013_07.tif
0.18897368,0.14007993,0.21188453,-0.20401034,0.18031271,0,GSL_2013_07.tif
0.27150917,0.1898083,0.25667703,-0.1497666,0.2393315,0,GSL_2013_07.tif
0.21546501,0.17342806,0.20183392,-0.07569588,0.196909,0,GSL_2013_07.tif
0.2827555,0.20420527,0.26997232,-0.13869679,0.25231102,0,GSL_2013_07.tif
0.22746108,0.14536862,0.22027323,-0.2048573,0.19770098,0,GSL_2013_07.tif
0.23277184,0.15315475,0.22106463,-0.18147029,0.2023304,0,GSL_2013_07.tif
0.23389648,0.16373213,0.22707915,-0.16209067,0.20823592,0,GSL_2013_07.tif
0.14505056,0.11224087,0.1502355,-0.14475392,0.13584231,0,GSL_2013_07.tif
0.30299887,0.21683937,0.27305874,-0.11475703,0.264299,0,GSL_2013_07.tif
0.25057852,0.17937782,0.24551848,-0.15566267,0.22515827,0,GSL_2013_07.tif
0.32292986,0.24908568,0.29972845,-0.092276566,0.29058132,0,GSL_2013_07.tif
0.2595131,0.19722715,0.26878524,-0.15355371,0.24184184,0,GSL_2013_07.tif
0.09075582,0.039043956,0.10979564,-0.47535205,0.079865135,0,GSL_2013_07.tif
0.1999076,0.1393454,0.20911469,-0.20022118,0.18278922,0,GSL_2013_07.tif
0.25407737,0.16644992,0.23792116,-0.17674623,0.21948282,0,GSL_2013_07.tif
0.20396878,0.11774992,0.18956743,-0.23369092,0.17042871,0,GSL_2013_07.tif
0.20759259,0.14353228,0.2253381,-0.2217733,0.19215433,0,GSL_2013_07.tif
0.13614722,0.07654223,0.1537176,-0.33516502,0.12213568,0,GSL_2013_07.tif
0.20740515,0.14992277,0.21766166,-0.18428066,0.19166319,0,GSL_2013_07.tif
0.22165048,0.15778235,0.22438845,-0.17428315,0.20127375,0,GSL_2013_07.tif
